"","Country","Anger","Fear","Joy","Neutral","Sadness"
"1","The Netherlands",11.1111111111111,61.1111111111111,5.55555555555556,16.6666666666667,5.55555555555556
"2","Brazil",13.6363636363636,54.5454545454545,4.54545454545455,18.1818181818182,9.09090909090909
"3","France",4.16666666666667,75,4.16666666666667,16.6666666666667,0
"4","Poland",20,56.6666666666667,6.66666666666667,13.3333333333333,3.33333333333333
"5","Spain",19.3548387096774,70.9677419354839,0,3.2258064516129,6.45161290322581
"6","South Africa",18.1818181818182,63.6363636363636,6.06060606060606,6.06060606060606,6.06060606060606
"7","Ireland",15.9090909090909,68.1818181818182,4.54545454545455,6.81818181818182,4.54545454545455
"8","Nigeria",24.4444444444444,62.2222222222222,2.22222222222222,2.22222222222222,8.88888888888889
"9","Australia",20.7792207792208,62.3376623376623,5.19480519480519,2.5974025974026,9.09090909090909
"10","India",22.3404255319149,55.3191489361702,2.12765957446809,9.57446808510638,10.6382978723404
"11","Canada",18.8118811881188,57.4257425742574,2.97029702970297,8.91089108910891,11.8811881188119
"12","Germany",8.84955752212389,43.3628318584071,2.65486725663717,6.19469026548673,38.9380530973451
"13","Ukraine",12.5874125874126,55.2447552447552,11.8881118881119,6.29370629370629,13.986013986014
"14","United Kingdom",23.4597156398104,62.5592417061611,4.50236966824645,4.97630331753555,4.50236966824645
"15","United States",25.4574383452665,59.8249801113763,3.50039777247414,5.01193317422434,6.20525059665871
"16","Sum",259.08998525304,908.40574106791,66.6011346470722,126.734696223679,139.168442808299
